current (A) - I-V	voltage (V) - I-V	
-1.000000E-2	6.250355E-5	
-9.900000E-3	6.633486E-5	
-9.800000E-3	6.695616E-5	
-9.700000E-3	5.608352E-5	
-9.600000E-3	5.794740E-5	
-9.500000E-3	5.142382E-5	
-9.400000E-3	5.390900E-5	
-9.300000E-3	5.390900E-5	
-9.200000E-3	5.245931E-5	
-9.100000E-3	4.955994E-5	
-9.000000E-3	4.396902E-5	
-8.900000E-3	4.438323E-5	
-8.800000E-3	4.552228E-5	
-8.700000E-3	4.500453E-5	
-8.600000E-3	4.521163E-5	
-8.500000E-3	3.961990E-5	
-8.400000E-3	4.469388E-5	
-8.300000E-3	3.164650E-5	
-8.200000E-3	4.106961E-5	
-8.100000E-3	3.796309E-5	
-8.000000E-3	3.361396E-5	
-7.900000E-3	3.993055E-5	
-7.800000E-3	3.382106E-5	
-7.700000E-3	3.257696E-5	
-7.600000E-3	3.578688E-5	
-7.500000E-3	3.154150E-5	
-7.400000E-3	2.812449E-5	
-7.300000E-3	2.802094E-5	
-7.200000E-3	2.543229E-5	
-7.100000E-3	3.268050E-5	
-7.000000E-3	3.154150E-5	
-6.900000E-3	2.605357E-5	
-6.800000E-3	1.797699E-5	
-6.700000E-3	2.191174E-5	
-6.600000E-3	1.569898E-5	
-6.500000E-3	2.180819E-5	
-6.400000E-3	1.911600E-5	
-6.300000E-3	1.787293E-5	
-6.200000E-3	1.652687E-5	
-6.100000E-3	1.580207E-5	
-6.000000E-3	1.041784E-5	
-5.900000E-3	1.787293E-5	
-5.800000E-3	2.253235E-5	
-5.700000E-3	1.269578E-5	
-5.600000E-3	1.569853E-5	
-5.500000E-3	1.714813E-5	
-5.400000E-3	2.118630E-5	
-5.300000E-3	1.248870E-5	
-5.200000E-3	1.362767E-5	
-5.100000E-3	1.383475E-5	
-5.000000E-3	1.435217E-5	
-4.900000E-3	6.379534E-6	
-4.800000E-3	8.553890E-6	
-4.700000E-3	1.052116E-5	
-4.600000E-3	3.791015E-6	
-4.500000E-3	9.382216E-6	
-4.400000E-3	4.826423E-6	
-4.300000E-3	2.444986E-6	
-4.200000E-3	5.758290E-6	
-4.100000E-3	3.583934E-6	
-4.000000E-3	2.652067E-6	
-3.900000E-3	2.859149E-6	
-3.800000E-3	-5.216998E-6	
-3.700000E-3	4.101713E-6	
-3.600000E-3	7.829246E-6	
-3.500000E-3	1.134969E-5	
-3.400000E-3	4.308798E-6	
-3.300000E-3	6.483193E-6	
-3.200000E-3	3.066287E-6	
-3.100000E-3	3.998170E-6	
-3.000000E-3	9.954352E-7	
-2.900000E-3	3.376915E-6	
-2.800000E-3	6.172565E-6	
-2.700000E-3	5.812648E-7	
-2.600000E-3	5.812648E-7	
-2.500000E-3	4.826511E-6	
-2.400000E-3	4.412341E-6	
-2.300000E-3	-3.664270E-6	
-2.200000E-3	4.619847E-6	
-2.100000E-3	-7.648399E-7	
-2.000000E-3	-1.903902E-6	
-1.900000E-3	1.513295E-6	
-1.800000E-3	2.755916E-6	
-1.700000E-3	1.186847E-5	
-1.600000E-3	2.963019E-6	
-1.500000E-3	4.777772E-7	
-1.400000E-3	-2.007453E-6	
-1.300000E-3	3.742254E-7	
-1.200000E-3	5.448261E-6	
-1.100000E-3	2.238157E-6	
-1.000000E-3	3.687754E-6	
-9.000000E-4	4.619689E-6	
-8.000000E-4	6.380011E-6	
-7.000000E-4	4.309044E-6	
-6.000000E-4	2.030981E-6	
-5.000000E-4	9.900653E-6	
-4.000000E-4	-4.285440E-6	
-3.000000E-4	2.238078E-6	
-2.000000E-4	-2.214486E-6	
-1.000000E-4	7.884015E-7	
0.000000E+0	4.723238E-6	
1.000000E-4	2.238078E-6	
2.000000E-4	-7.648193E-7	
3.000000E-4	2.652236E-6	
4.000000E-4	5.551551E-6	
5.000000E-4	1.720313E-6	
6.000000E-4	4.101894E-6	
7.000000E-4	9.954836E-7	
8.000000E-4	2.445142E-6	
9.000000E-4	-8.683577E-7	
1.000000E-3	1.671077E-7	
1.100000E-3	4.777487E-7	
1.200000E-3	8.347320E-6	
1.300000E-3	-2.470797E-7	
1.400000E-3	2.445142E-6	
1.500000E-3	2.755783E-6	
1.600000E-3	-4.541793E-7	
1.700000E-3	-3.560639E-6	
1.800000E-3	9.175904E-6	
1.900000E-3	-9.719225E-7	
2.000000E-3	-2.421604E-6	
2.100000E-3	-6.612766E-7	
2.200000E-3	9.486552E-6	
2.300000E-3	2.706639E-7	
2.400000E-3	-1.435333E-7	
2.500000E-3	1.823904E-6	
2.600000E-3	2.134551E-6	
2.700000E-3	3.273594E-6	
2.800000E-3	2.706639E-7	
2.900000E-3	3.687791E-6	
3.000000E-3	1.393820E-5	
3.100000E-3	2.859190E-6	
3.200000E-3	2.962732E-6	
3.300000E-3	8.243384E-6	
3.400000E-3	-4.492277E-6	
3.500000E-3	-1.075407E-6	
3.600000E-3	-1.593115E-6	
3.700000E-3	-6.356025E-6	
3.800000E-3	1.670932E-7	
3.900000E-3	3.998154E-6	
4.000000E-3	1.616684E-6	
4.100000E-3	6.793793E-6	
4.200000E-3	1.616684E-6	
4.300000E-3	-3.871213E-6	
4.400000E-3	-4.492492E-6	
4.500000E-3	-8.944998E-6	
4.600000E-3	-2.628653E-6	
4.700000E-3	-7.495345E-6	
4.800000E-3	-7.598892E-6	
4.900000E-3	-6.356332E-6	
5.000000E-3	-5.320866E-6	
5.100000E-3	-6.045692E-6	
5.200000E-3	-3.042839E-6	
5.300000E-3	-1.282546E-6	
5.400000E-3	-5.527959E-6	
5.500000E-3	-1.339750E-5	
5.600000E-3	-1.339812E-5	
5.700000E-3	-1.122354E-5	
5.800000E-3	-8.738301E-6	
5.900000E-3	-8.738301E-6	
6.000000E-3	-1.474428E-5	
6.100000E-3	-1.619400E-5	
6.200000E-3	-1.546914E-5	
6.300000E-3	-1.515849E-5	
6.400000E-3	-8.738301E-6	
6.500000E-3	-1.329456E-5	
6.600000E-3	-2.157868E-5	
6.700000E-3	-2.188933E-5	
6.800000E-3	-1.774728E-5	
6.900000E-3	-1.743505E-5	
7.000000E-3	-2.613257E-5	
7.100000E-3	-2.892821E-5	
7.200000E-3	-2.406173E-5	
7.300000E-3	-2.240506E-5	
7.400000E-3	-2.913529E-5	
7.500000E-3	-2.685737E-5	
7.600000E-3	-2.778924E-5	
7.700000E-3	-2.675382E-5	
7.800000E-3	-3.348405E-5	
7.900000E-3	-3.027425E-5	
8.000000E-3	-3.866115E-5	
8.100000E-3	-3.514073E-5	
8.200000E-3	-3.483025E-5	
8.300000E-3	-3.617630E-5	
8.400000E-3	-3.659047E-5	
8.500000E-3	-3.048146E-5	
8.600000E-3	-5.129349E-5	
8.700000E-3	-4.176759E-5	
8.800000E-3	-4.321718E-5	
8.900000E-3	-4.197467E-5	
9.000000E-3	-5.150058E-5	
9.100000E-3	-4.694471E-5	
9.200000E-3	-5.067224E-5	
9.300000E-3	-4.725534E-5	
9.400000E-3	-4.849785E-5	
9.500000E-3	-5.449719E-5	
9.600000E-3	-5.863842E-5	
9.700000E-3	-6.733501E-5	
9.800000E-3	-5.594662E-5	
9.900000E-3	-6.236553E-5	
