current (A) - I-V	voltage (V) - I-V	
-1.000000E-2	-3.506141E-7	
-9.900000E-3	5.033763E-4	
-9.800000E-3	4.978886E-4	
-9.700000E-3	4.868446E-4	
-9.600000E-3	4.831168E-4	
-9.500000E-3	4.765933E-4	
-9.400000E-3	4.702769E-4	
-9.300000E-3	4.587830E-4	
-9.200000E-3	4.566085E-4	
-9.100000E-3	4.438720E-4	
-9.000000E-3	4.355882E-4	
-8.900000E-3	4.297895E-4	
-8.800000E-3	4.238872E-4	
-8.700000E-3	4.089762E-4	
-8.600000E-3	4.100117E-4	
-8.500000E-3	3.925121E-4	
-8.400000E-3	3.870273E-4	
-8.300000E-3	3.827818E-4	
-8.200000E-3	3.775008E-4	
-8.100000E-3	3.635216E-4	
-8.000000E-3	3.622790E-4	
-7.900000E-3	3.547199E-4	
-7.800000E-3	3.471608E-4	
-7.700000E-3	3.354598E-4	
-7.600000E-3	3.303859E-4	
-7.500000E-3	3.172351E-4	
-7.400000E-3	3.113328E-4	
-7.300000E-3	3.046021E-4	
-7.200000E-3	3.002530E-4	
-7.100000E-3	2.888626E-4	
-7.000000E-3	2.836012E-4	
-6.900000E-3	2.754202E-4	
-6.800000E-3	2.697246E-4	
-6.700000E-3	2.628899E-4	
-6.600000E-3	2.522236E-4	
-6.500000E-3	2.494276E-4	
-6.400000E-3	2.429035E-4	
-6.300000E-3	2.328585E-4	
-6.200000E-3	2.354474E-4	
-6.100000E-3	2.129757E-4	
-6.000000E-3	2.192926E-4	
-5.900000E-3	2.114223E-4	
-5.800000E-3	2.098690E-4	
-5.700000E-3	2.060402E-4	
-5.600000E-3	1.936133E-4	
-5.500000E-3	1.911279E-4	
-5.400000E-3	1.816006E-4	
-5.300000E-3	1.809792E-4	
-5.200000E-3	1.575752E-4	
-5.100000E-3	1.756978E-4	
-5.000000E-3	1.624424E-4	
-4.900000E-3	1.562289E-4	
-4.800000E-3	1.513617E-4	
-4.700000E-3	1.508439E-4	
-4.600000E-3	1.345853E-4	
-4.500000E-3	1.319964E-4	
-4.400000E-3	1.271230E-4	
-4.300000E-3	1.135575E-4	
-4.200000E-3	1.213240E-4	
-4.100000E-3	1.096225E-4	
-4.000000E-3	1.106581E-4	
-3.900000E-3	1.063088E-4	
-3.800000E-3	1.038236E-4	
-3.700000E-3	9.522868E-5	
-3.600000E-3	9.357184E-5	
-3.500000E-3	8.332010E-5	
-3.400000E-3	7.120442E-5	
-3.300000E-3	8.000641E-5	
-3.200000E-3	6.354150E-5	
-3.100000E-3	6.892625E-5	
-3.000000E-3	5.577318E-5	
-2.900000E-3	5.680868E-5	
-2.800000E-3	5.390929E-5	
-2.700000E-3	5.225250E-5	
-2.600000E-3	3.982657E-5	
-2.500000E-3	5.100991E-5	
-2.400000E-3	4.531469E-5	
-2.300000E-3	3.485619E-5	
-2.200000E-3	3.247455E-5	
-2.100000E-3	-2.007412E-6	
-2.000000E-3	3.433844E-5	
-1.900000E-3	2.957517E-5	
-1.800000E-3	2.905742E-5	
-1.700000E-3	1.859881E-5	
-1.600000E-3	1.818462E-5	
-1.500000E-3	1.538880E-5	
-1.400000E-3	1.466395E-5	
-1.300000E-3	1.663138E-5	
-1.200000E-3	8.968767E-6	
-1.100000E-3	1.062555E-5	
-1.000000E-3	9.072316E-6	
-9.000000E-4	5.033910E-6	
-8.000000E-4	1.342137E-5	
-7.000000E-4	7.726181E-6	
-6.000000E-4	4.309068E-6	
-5.000000E-4	3.480677E-6	
-4.000000E-4	2.134542E-6	
-3.000000E-4	-3.560636E-6	
-2.000000E-4	3.066492E-6	
-1.000000E-4	1.306156E-6	
0.000000E+0	-1.435333E-7	
1.000000E-4	3.742128E-7	
2.000000E-4	9.279446E-6	
3.000000E-4	9.797192E-6	
4.000000E-4	-1.593213E-6	
5.000000E-4	4.777620E-7	
6.000000E-4	7.001363E-6	
7.000000E-4	-9.773549E-6	
8.000000E-4	2.031000E-6	
9.000000E-4	-2.110956E-6	
1.000000E-3	-5.631845E-6	
1.100000E-3	-8.945543E-6	
1.200000E-3	-1.039529E-5	
1.300000E-3	-4.492761E-6	
1.400000E-3	-9.670414E-6	
1.500000E-3	-1.308766E-5	
1.600000E-3	-1.008463E-5	
1.700000E-3	-1.702268E-5	
1.800000E-3	-1.660847E-5	
1.900000E-3	-2.157901E-5	
2.000000E-3	-1.650492E-5	
